"V1","V2","V3"
"Gustavus","2006","General"
"Haines No. 1","2006","General"
"Haines Highway","2006","General"
"Hoonah","2006","General"
"Hydaburg","2006","General"
"Kake","2006","General"
"Kasaan","2006","General"
"Klawock","2006","General"
"Klukwan","2006","General"
"Metlakatla","2006","General"
"Northern Prince of Wales","2006","General"
"Skagway","2006","General"
"Tatitlek","2006","General"
"Tenakee","2006","General"
"Yakutat","2006","General"
"Allakaket","2006","General"
"Aniak","2006","General"
"Anvik","2006","General"
"Arctic Village","2006","General"
"Beaver","2006","General"
"Bettles","2006","General"
"Central","2006","General"
"Chistochina","2006","General"
"Chuathbaluk","2006","General"
"Circle","2006","General"
"Copper Center","2006","General"
"Crooked Creek","2006","General"
"Deltana","2006","General"
"Dot Lake","2006","General"
"Eagle","2006","General"
"Fort Yukon","2006","General"
"Gakona","2006","General"
"Galena","2006","General"
"Grayling","2006","General"
"Holy Cross","2006","General"
"Hughes","2006","General"
"Huslia","2006","General"
"Kaltag","2006","General"
"Kenny Lake","2006","General"
"Koyukuk","2006","General"
"Manley Hot Springs","2006","General"
"Marshall","2006","General"
"McGrath","2006","General"
"Mentasta","2006","General"
"Minto","2006","General"
"Nenana","2006","General"
"Nikolai","2006","General"
"Northway","2006","General"
"Nulato","2006","General"
"Ruby","2006","General"
"Russian Mission","2006","General"
"Shageluk","2006","General"
"Sleetmute","2006","General"
"Stevens Village","2006","General"
"Takotna","2006","General"
"Tanacross","2006","General"
"Tanana","2006","General"
"Tetlin","2006","General"
"Tok","2006","General"
"Tyonek","2006","General"
"Venetie","2006","General"
"Chatanika","2006","General"
"Farmers Loop","2006","General"
"Fox","2006","General"
"Goldstream No. 1","2006","General"
"Shanly","2006","General"
"Steele Creek/Gilmore","2006","General"
"Steese East","2006","General"
"Steese West","2006","General"
"Two Rivers","2006","General"
"Anderson","2006","General"
"Cantwell","2006","General"
"Chena","2006","General"
"Clear","2006","General"
"Denali Park","2006","General"
"Ester","2006","General"
"Geist","2006","General"
"Goldstream No. 2","2006","General"
"Healy","2006","General"
"Pike","2006","General"
"University Campus","2006","General"
"University Hills","2006","General"
"University West","2006","General"
"Airport","2006","General"
"Aurora","2006","General"
"Fairbanks No. 1","2006","General"
"Fairbanks No. 3","2006","General"
"Fairbanks No. 4","2006","General"
"Fairbanks No. 5","2006","General"
"Fairbanks No. 6","2006","General"
"Fairbanks No. 7","2006","General"
"Fairbanks No. 10","2006","General"
"Fairbanks No. 2","2006","General"
"Fairbanks No. 8","2006","General"
"Fairbanks No. 9","2006","General"
"Fort Wainwright","2006","General"
"Lakeview","2006","General"
"Badger No. 1","2006","General"
"Badger No. 2","2006","General"
"Chena Lakes","2006","General"
"Moose Creek","2006","General"
"Newby","2006","General"
"North Pole","2006","General"
"Plack","2006","General"
"Richardson","2006","General"
"Big Delta","2006","General"
"Delta Junction","2006","General"
"Eielson","2006","General"
"Farm Loop","2006","General"
"Glennallen","2006","General"
"Salcha","2006","General"
"Sheep Mountain","2006","General"
"Sutton","2006","General"
"Valdez No. 1","2006","General"
"Valdez No. 2","2006","General"
"Valdez No. 3","2006","General"
"Fishhook","2006","General"
"Greater Palmer","2006","General"
"Lakes","2006","General"
"Mat-Su Campus","2006","General"
NA,"2006","General"
"Palmer Fishhook","2006","General"
"Pioneer Peak","2006","General"
"Trunk","2006","General"
"Walby Lake","2006","General"
"Kings Lake","2006","General"
"Knik","2006","General"
"Schrock","2006","General"
"Seward Meridian","2006","General"
"Wasilla Lake","2006","General"
"Wasilla No. 1","2006","General"
"Wasilla No. 2","2006","General"
"Big Lake","2006","General"
"Knik Goose Bay","2006","General"
"Meadow Lakes No. 1","2006","General"
"Meadow Lakes No. 2","2006","General"
"Susitna","2006","General"
"Talkeetna","2006","General"
"Trapper Creek","2006","General"
"Willow","2006","General"
"Butte","2006","General"
"Eklutna","2006","General"
"Fairview","2006","General"
"Lazy Mountain","2006","General"
"Peters Creek No. 1","2006","General"
"Peters Creek No. 2","2006","General"
"Snowshoe","2006","General"
"Springer Loop","2006","General"
"Chugach Park No. 3","2006","General"
"Dntn Eagle River No. 1","2006","General"
"Dntn Eagle River No. 2","2006","General"
"Eagle River No. 1","2006","General"
"Eagle River No. 2","2006","General"
"Meadow Creek No. 1","2006","General"
"Meadow Creek No. 2","2006","General"
"Elmendorf","2006","General"
"Fire Lake","2006","General"
"Fort Richardson","2006","General"
"Government Hill No. 2","2006","General"
"North Muldoon","2006","General"
"Cheney Lake","2006","General"
"Creekside Park","2006","General"
"Muldoon No. 1","2006","General"
"Muldoon No. 2","2006","General"
"Muldoon No. 3","2006","General"
"Muldoon No. 4","2006","General"
"Nunaka Valley","2006","General"
"Northeast Anchorage","2006","General"
"North Mtn View No. 1","2006","General"
"North Mtn View No. 2","2006","General"
"South Mtn View No. 1","2006","General"
"Wonder Park","2006","General"
"Baxter","2006","General"
"Chester Valley","2006","General"
"Chugach Foot Hills No. 1","2006","General"
"Chugach Foot Hills No. 2","2006","General"
"Reflection Lake","2006","General"
"Scenic Park","2006","General"
"Airport Heights No. 1","2006","General"
"Airport Heights No. 2","2006","General"
"College Gate","2006","General"
"East Anchorage","2006","General"
"Russian Jack","2006","General"
"South Mtn View No. 2","2006","General"
"University No 1","2006","General"
"University No 2","2006","General"
"Downtown Anchorage No. 1","2006","General"
"Downtown Anchorage No. 2","2006","General"
"Downtown Anchorage No. 3","2006","General"
"Downtown Anchorage No. 4","2006","General"
"Fireweed","2006","General"
"Government Hill No. 1","2006","General"
"Merrill Field","2006","General"
"Rogers Park","2006","General"
"East Dowling","2006","General"
"Far North Bicentennial","2006","General"
"Midtown No. 1","2006","General"
"Midtown No. 2","2006","General"
"Midtown No. 3","2006","General"
"Taku","2006","General"
"Tudor","2006","General"
"Arctic","2006","General"
"Conners Lake","2006","General"
"Northwood","2006","General"
"Spenard No. 1","2006","General"
"Spenard No. 2","2006","General"
"Spenard No. 3","2006","General"
"Westchester No. 1","2006","General"
"Willowcrest No. 1","2006","General"
"Willowcrest No. 2","2006","General"
"Inlet View No. 1","2006","General"
"Inlet View No. 2","2006","General"
"Lake Hood","2006","General"
"Lake Spenard","2006","General"
"Turnagain No. 1","2006","General"
"Turnagain No. 2","2006","General"
"Turnagain No. 3","2006","General"
"Turnagain No. 4","2006","General"
"Westchester No. 2","2006","General"
"Dimond No. 1","2006","General"
"Jewel Lake No 1","2006","General"
"Kincaid","2006","General"
"Sand Lake No. 1","2006","General"
"Sand Lake No. 2","2006","General"
"Sand Lake No. 3","2006","General"
"Bayshore","2006","General"
"Campbell Lake","2006","General"
"Jewel Lake No. 2","2006","General"
"Klatt No. 1","2006","General"
"Oceanview No. 1","2006","General"
"Southport","2006","General"
"Campbell Creek No. 1","2006","General"
"Campbell Creek No. 2","2006","General"
"Campbell Creek No. 3","2006","General"
"Dimond No. 2","2006","General"
"Dimond No. 3","2006","General"
"Independence Park No. 1","2006","General"
"Independence Park No. 2","2006","General"
"Abbott Loop No. 1","2006","General"
"Abbott Loop No. 2","2006","General"
"Abbott Loop No. 3","2006","General"
"Abbott Loop No. 4","2006","General"
"Laurel/Dowling","2006","General"
"Lore No. 1","2006","General"
"Lore No. 2","2006","General"
"Huffman No. 1","2006","General"
"Huffman No. 2","2006","General"
"Huffman No. 3","2006","General"
"Huffman No. 4","2006","General"
"Huffman No. 5","2006","General"
"Huffman No. 6","2006","General"
"Huffman No. 7","2006","General"
"Huffman No. 8","2006","General"
"Bear Valley","2006","General"
"Centennial Park","2006","General"
"Chugach Park No. 1","2006","General"
"Chugach Park No. 2","2006","General"
"Girdwood","2006","General"
"Golden View","2006","General"
"Hiland","2006","General"
"Hope","2006","General"
"Indian","2006","General"
"Rabbit Creek","2006","General"
"Stuckagain Heights","2006","General"
"Whittier","2006","General"
"Kenai No. 1","2006","General"
"Kenai No. 2","2006","General"
"Kenai No. 3","2006","General"
"K-Beach","2006","General"
"Soldotna","2006","General"
"Funny River","2006","General"
"Kasilof","2006","General"
"Mackey Lake","2006","General"
"Nikiski","2006","General"
"Ninilchik","2006","General"
"Salamatoff","2006","General"
"Sterling","2006","General"
"Homer No. 1","2006","General"
"Homer No. 2","2006","General"
"Anchor Point","2006","General"
"Bear Creek","2006","General"
"Cooper Landing","2006","General"
"Diamond Ridge","2006","General"
"Kachemak Bay","2006","General"
"Kachemak City/Fritz Creek","2006","General"
"Moose Pass","2006","General"
"Seldovia","2006","General"
"Seward","2006","General"
"Chiniak","2006","General"
"Flats","2006","General"
"Kodiak Island South","2006","General"
"Kodiak No. 1","2006","General"
"Kodiak No. 2","2006","General"
"Mission Road","2006","General"
"Old Harbor","2006","General"
"Ouzinkie","2006","General"
"Port Lions","2006","General"
"Iliamna/Newhalen","2006","General"
"Kokhanok/Igiugig","2006","General"
"Levelock","2006","General"
"Nondalton","2006","General"
"Pedro Bay","2006","General"
"Akutan","2006","General"
"Aleknagik","2006","General"
"Aleutians No. 1","2006","General"
"Aleutians No. 2","2006","General"
"Chigniks","2006","General"
"Clarks Point","2006","General"
"Cold Bay","2006","General"
"Dillingham","2006","General"
"Egegik/Pilot Point","2006","General"
"Ekwok","2006","General"
"King Cove","2006","General"
"King Salmon","2006","General"
"Koliganek","2006","General"
"Manokotak","2006","General"
"Naknek","2006","General"
"New Stuyahok","2006","General"
"Port Heiden","2006","General"
"Sand Point","2006","General"
"South Naknek","2006","General"
"St. George Island","2006","General"
"St. Paul Island","2006","General"
"Togiak","2006","General"
"Akiachak","2006","General"
"Akiak","2006","General"
"Atmautluak","2006","General"
"Bethel No. 1","2006","General"
"Bethel No. 2","2006","General"
"Bethel No. 3","2006","General"
"Chefornak","2006","General"
"Eek","2006","General"
"Goodnews Bay","2006","General"
"Kalskag","2006","General"
"Kasigluk","2006","General"
"Kipnuk","2006","General"
"Kongiganak","2006","General"
"Kwethluk","2006","General"
"Kwigillongok","2006","General"
"Lower Kalskag","2006","General"
"Mekoryuk","2006","General"
"Napakiak","2006","General"
"Napaskiak","2006","General"
"Newtok","2006","General"
"Nightmute","2006","General"
"Nunapitchuk","2006","General"
"Quinhagak","2006","General"
"Toksook Bay","2006","General"
"Tuluksak","2006","General"
"Tuntutuliak","2006","General"
"Tununak","2006","General"
"Alakanuk","2006","General"
"Brevig Mission","2006","General"
"Chevak","2006","General"
"Diomede","2006","General"
"Elim","2006","General"
"Emmonak","2006","General"
"Gambell","2006","General"
"Golovin","2006","General"
"Hooper Bay","2006","General"
"Kotlik","2006","General"
"Koyuk","2006","General"
"Mountain Village","2006","General"
"Nome No. 1","2006","General"
"Nome No. 2","2006","General"
"Nunam Iqua","2006","General"
"Pilot Station","2006","General"
"Pitkas Point","2006","General"
"Savoonga","2006","General"
"Scammon Bay","2006","General"
"Shaktoolik","2006","General"
"St. Mary's","2006","General"
"St. Michael","2006","General"
"Stebbins","2006","General"
"Teller","2006","General"
"Unalakleet","2006","General"
"Wales","2006","General"
"White Mountain","2006","General"
"Ambler","2006","General"
"Anaktuvuk Pass","2006","General"
"Atqasuk","2006","General"
"Barrow","2006","General"
"Browerville","2006","General"
"Buckland","2006","General"
"Deering","2006","General"
"Kaktovik","2006","General"
"Kiana","2006","General"
"Kivalina","2006","General"
"Kobuk","2006","General"
"Kotzebue","2006","General"
"Noatak","2006","General"
"Noorvik","2006","General"
"Nuiqsut","2006","General"
"Point Hope","2006","General"
"Point Lay","2006","General"
"Selawik","2006","General"
"Shishmaref","2006","General"
"Shungnak","2006","General"
"Wainwright","2006","General"
"District 1 - Absentee","2006","General"
"District 2 - Absentee","2006","General"
"District 3 - Absentee","2006","General"
"District 4 - Absentee","2006","General"
"District 5 - Absentee","2006","General"
"District 6 - Absentee","2006","General"
"District 7 - Absentee","2006","General"
"District 8 - Absentee","2006","General"
"District 9 - Absentee","2006","General"
"District 10 - Absentee","2006","General"
"District 11 - Absentee","2006","General"
"District 12 - Absentee","2006","General"
"District 13 - Absentee","2006","General"
"District 14 - Absentee","2006","General"
"District 15 - Absentee","2006","General"
"District 16 - Absentee","2006","General"
"District 17 - Absentee","2006","General"
"District 18 - Absentee","2006","General"
"District 19 - Absentee","2006","General"
"District 20 - Absentee","2006","General"
"District 21 - Absentee","2006","General"
"District 22 - Absentee","2006","General"
"District 23 - Absentee","2006","General"
"District 24 - Absentee","2006","General"
"District 25 - Absentee","2006","General"
"District 26 - Absentee","2006","General"
"District 27 - Absentee","2006","General"
"District 28 - Absentee","2006","General"
"District 29 - Absentee","2006","General"
"District 30 - Absentee","2006","General"
"District 31 - Absentee","2006","General"
"District 32 - Absentee","2006","General"
"District 33 - Absentee","2006","General"
"District 34 - Absentee","2006","General"
"District 35 - Absentee","2006","General"
"District 36 - Absentee","2006","General"
"District 37 - Absentee","2006","General"
"District 38 - Absentee","2006","General"
"District 39 - Absentee","2006","General"
"District 40 - Absentee","2006","General"
"District 1 - Question","2006","General"
"District 2 - Question","2006","General"
"District 3 - Question","2006","General"
"District 4 - Question","2006","General"
"District 5 - Question","2006","General"
"District 6 - Question","2006","General"
"District 7 - Question","2006","General"
"District 8 - Question","2006","General"
"District 9 - Question","2006","General"
"District 10 - Question","2006","General"
"District 11 - Question","2006","General"
"District 12 - Question","2006","General"
"District 13 - Question","2006","General"
"District 14 - Question","2006","General"
"District 15 - Question","2006","General"
"District 16 - Question","2006","General"
"District 17 - Question","2006","General"
"District 18 - Question","2006","General"
"District 19 - Question","2006","General"
"District 20 - Question","2006","General"
"District 21 - Question","2006","General"
"District 22 - Question","2006","General"
"District 23 - Question","2006","General"
"District 24 - Question","2006","General"
"District 25 - Question","2006","General"
"District 26 - Question","2006","General"
"District 27 - Question","2006","General"
"District 28 - Question","2006","General"
"District 29 - Question","2006","General"
"District 30 - Question","2006","General"
"District 31 - Question","2006","General"
"District 32 - Question","2006","General"
"District 33 - Question","2006","General"
"District 34 - Question","2006","General"
"District 35 - Question","2006","General"
"District 36 - Question","2006","General"
"District 37 - Question","2006","General"
"District 38 - Question","2006","General"
"District 39 - Question","2006","General"
"District 40 - Question","2006","General"
"District 1 - Early Voting","2006","General"
"District 2 - Early Voting","2006","General"
"District 3 - Early Voting","2006","General"
"District 4 - Early Voting","2006","General"
"District 5 - Early Voting","2006","General"
"District 6 - Early Voting","2006","General"
"District 7 - Early Voting","2006","General"
"District 8 - Early Voting","2006","General"
"District 9 - Early Voting","2006","General"
"District 10 - Early Voting","2006","General"
"District 11 - Early Voting","2006","General"
"District 12 - Early Voting","2006","General"
"District 13 - Early Voting","2006","General"
"District 14 - Early Voting","2006","General"
"District 15 - Early Voting","2006","General"
"District 16 - Early Voting","2006","General"
"District 17 - Early Voting","2006","General"
"District 18 - Early Voting","2006","General"
"District 19 - Early Voting","2006","General"
"District 20 - Early Voting","2006","General"
"District 21 - Early Voting","2006","General"
"District 22 - Early Voting","2006","General"
"District 23 - Early Voting","2006","General"
"District 24 - Early Voting","2006","General"
"District 25 - Early Voting","2006","General"
"District 26 - Early Voting","2006","General"
"District 27 - Early Voting","2006","General"
"District 28 - Early Voting","2006","General"
"District 29 - Early Voting","2006","General"
"District 30 - Early Voting","2006","General"
"District 31 - Early Voting","2006","General"
"District 32 - Early Voting","2006","General"
"District 33 - Early Voting","2006","General"
"District 34 - Early Voting ","2006","General"
"District 35 - Early Voting","2006","General"
"District 36 - Early Voting","2006","General"
"District 37 - Early Voting","2006","General"
"District 38 - Early Voting","2006","General"
"District 39 - Early Voting","2006","General"
"District 40 - Early Voting","2006","General"
"Ketchikan No. 1","2006","Primary"
"Ketchikan No. 2","2006","Primary"
"Ketchikan No. 3","2006","Primary"
"North Tongass No. 1","2006","Primary"
"North Tongass No. 2","2006","Primary"
"Saxman","2006","Primary"
"South Tongass","2006","Primary"
"Thorne Bay","2006","Primary"
"Coffman Cove","2006","Primary"
"Sitka No. 1","2006","Primary"
"Sitka No. 2","2006","Primary"
"Halibut Point","2006","Primary"
"Sawmill Creek","2006","Primary"
"Petersburg/Kupreanof","2006","Primary"
"Wrangell","2006","Primary"
"Pelican/Elfin Cove","2006","Primary"
"Port Alexander","2006","Primary"
"Douglas","2006","Primary"
"Juneau No. 1","2006","Primary"
"Juneau No. 2","2006","Primary"
"Juneau No. 3","2006","Primary"
"Juneau No. 4","2006","Primary"
"Juneau Airport Area","2006","Primary"
"Lemon Creek","2006","Primary"
"North Douglas","2006","Primary"
"Salmon Creek","2006","Primary"
"Switzer Creek","2006","Primary"
"Mendenhall Valley No. 1","2006","Primary"
"Mendenhall Valley No. 2","2006","Primary"
"Mendenhall Valley No. 3","2006","Primary"
"Mendenhall Valley No. 4","2006","Primary"
"Auke Bay/Fritz Cove","2006","Primary"
"Lynn Canal","2006","Primary"
"Angoon","2006","Primary"
"Cordova","2006","Primary"
"Craig","2006","Primary"
"Gustavus","2006","Primary"
"Haines No. 1","2006","Primary"
"Haines Highway","2006","Primary"
"Hoonah","2006","Primary"
"Hydaburg","2006","Primary"
"Kake","2006","Primary"
"Kasaan","2006","Primary"
"Klawock","2006","Primary"
"Klukwan","2006","Primary"
"Metlakatla","2006","Primary"
"Northern Prince of Wales","2006","Primary"
"Skagway","2006","Primary"
"Tatitlek","2006","Primary"
"Tenakee","2006","Primary"
"Yakutat","2006","Primary"
"Allakaket","2006","Primary"
"Aniak","2006","Primary"
"Anvik","2006","Primary"
"Arctic Village","2006","Primary"
"Beaver","2006","Primary"
"Bettles","2006","Primary"
"Central","2006","Primary"
"Chistochina","2006","Primary"
"Chuathbaluk","2006","Primary"
"Circle","2006","Primary"
"Copper Center","2006","Primary"
"Crooked Creek","2006","Primary"
"Deltana","2006","Primary"
"Dot Lake","2006","Primary"
"Eagle","2006","Primary"
"Fort Yukon","2006","Primary"
"Gakona","2006","Primary"
"Galena","2006","Primary"
"Grayling","2006","Primary"
"Holy Cross","2006","Primary"
"Hughes","2006","Primary"
"Huslia","2006","Primary"
"Kaltag","2006","Primary"
"Kenny Lake","2006","Primary"
"Koyukuk","2006","Primary"
"Manley Hot Springs","2006","Primary"
"Marshall","2006","Primary"
"McGrath","2006","Primary"
"Mentasta","2006","Primary"
"Minto","2006","Primary"
"Nenana","2006","Primary"
"Nikolai","2006","Primary"
"Northway","2006","Primary"
"Nulato","2006","Primary"
"Ruby","2006","Primary"
"Russian Mission","2006","Primary"
"Shageluk","2006","Primary"
"Sleetmute","2006","Primary"
"Stevens Village","2006","Primary"
"Takotna","2006","Primary"
"Tanacross","2006","Primary"
"Tanana","2006","Primary"
"Tetlin","2006","Primary"
"Tok","2006","Primary"
"Tyonek","2006","Primary"
"Venetie","2006","Primary"
"Chatanika","2006","Primary"
"Farmers Loop","2006","Primary"
"Fox","2006","Primary"
"Goldstream No. 1","2006","Primary"
"Shanly","2006","Primary"
"Steele Creek/Gilmore","2006","Primary"
"Steese East","2006","Primary"
"Steese West","2006","Primary"
"Two Rivers","2006","Primary"
"Anderson","2006","Primary"
"Cantwell","2006","Primary"
"Chena","2006","Primary"
"Clear","2006","Primary"
"Denali Park","2006","Primary"
"Ester","2006","Primary"
"Geist","2006","Primary"
"Goldstream No. 2","2006","Primary"
"Healy","2006","Primary"
"Pike","2006","Primary"
"University Campus","2006","Primary"
"University Hills","2006","Primary"
"University West","2006","Primary"
"Airport","2006","Primary"
"Aurora","2006","Primary"
"Fairbanks No. 1","2006","Primary"
"Fairbanks No. 3","2006","Primary"
"Fairbanks No. 4","2006","Primary"
"Fairbanks No. 5","2006","Primary"
"Fairbanks No. 6","2006","Primary"
"Fairbanks No. 7","2006","Primary"
"Fairbanks No. 10","2006","Primary"
"Fairbanks No. 2","2006","Primary"
"Fairbanks No. 8","2006","Primary"
"Fairbanks No. 9","2006","Primary"
"Fort Wainwright","2006","Primary"
"Lakeview","2006","Primary"
"Badger No. 1","2006","Primary"
"Badger No. 2","2006","Primary"
"Chena Lakes","2006","Primary"
"Moose Creek","2006","Primary"
"Newby","2006","Primary"
"North Pole","2006","Primary"
"Plack","2006","Primary"
"Richardson","2006","Primary"
"Big Delta","2006","Primary"
"Delta Junction","2006","Primary"
"Eielson","2006","Primary"
"Farm Loop","2006","Primary"
"Glennallen","2006","Primary"
"Salcha","2006","Primary"
"Sheep Mountain","2006","Primary"
"Sutton","2006","Primary"
"Valdez No. 1","2006","Primary"
"Valdez No. 2","2006","Primary"
"Valdez No. 3","2006","Primary"
"Fishhook","2006","Primary"
"Greater Palmer","2006","Primary"
"Lakes","2006","Primary"
"Mat-Su Campus","2006","Primary"
NA,"2006","Primary"
"Palmer Fishhook","2006","Primary"
"Pioneer Peak","2006","Primary"
"Trunk","2006","Primary"
"Walby Lake","2006","Primary"
"Kings Lake","2006","Primary"
"Knik","2006","Primary"
"Schrock","2006","Primary"
"Seward Meridian","2006","Primary"
"Wasilla Lake","2006","Primary"
"Wasilla No. 1","2006","Primary"
"Wasilla No. 2","2006","Primary"
"Big Lake","2006","Primary"
"Knik Goose Bay","2006","Primary"
"Meadow Lakes No. 1","2006","Primary"
"Meadow Lakes No. 2","2006","Primary"
"Susitna","2006","Primary"
"Talkeetna","2006","Primary"
"Trapper Creek","2006","Primary"
"Willow","2006","Primary"
"Butte","2006","Primary"
"Eklutna","2006","Primary"
"Fairview","2006","Primary"
"Lazy Mountain","2006","Primary"
"Peters Creek No. 1","2006","Primary"
"Peters Creek No. 2","2006","Primary"
"Snowshoe","2006","Primary"
"Springer Loop","2006","Primary"
"Chugach Park No. 3","2006","Primary"
"Dntn Eagle River No. 1","2006","Primary"
"Dntn Eagle River No. 2","2006","Primary"
"Eagle River No. 1","2006","Primary"
"Eagle River No. 2","2006","Primary"
"Meadow Creek No. 1","2006","Primary"
"Meadow Creek No. 2","2006","Primary"
"Elmendorf","2006","Primary"
"Fire Lake","2006","Primary"
"Fort Richardson","2006","Primary"
"Government Hill No. 2","2006","Primary"
"North Muldoon","2006","Primary"
"Cheney Lake","2006","Primary"
"Creekside Park","2006","Primary"
"Muldoon No. 1","2006","Primary"
"Muldoon No. 2","2006","Primary"
"Muldoon No. 3","2006","Primary"
"Muldoon No. 4","2006","Primary"
"Nunaka Valley","2006","Primary"
"Northeast Anchorage","2006","Primary"
"North Mtn View No. 1","2006","Primary"
"North Mtn View No. 2","2006","Primary"
"South Mtn View No. 1","2006","Primary"
"Wonder Park","2006","Primary"
"Baxter","2006","Primary"
"Chester Valley","2006","Primary"
"Chugach Foot Hills No. 1","2006","Primary"
"Chugach Foot Hills No. 2","2006","Primary"
"Reflection Lake","2006","Primary"
"Scenic Park","2006","Primary"
"Airport Heights No. 1","2006","Primary"
"Airport Heights No. 2","2006","Primary"
"College Gate","2006","Primary"
"East Anchorage","2006","Primary"
"Russian Jack","2006","Primary"
"South Mtn View No. 2","2006","Primary"
"University No 1","2006","Primary"
"University No 2","2006","Primary"
"Downtown Anchorage No. 1","2006","Primary"
"Downtown Anchorage No. 2","2006","Primary"
"Downtown Anchorage No. 3","2006","Primary"
"Downtown Anchorage No. 4","2006","Primary"
"Fireweed","2006","Primary"
"Government Hill No. 1","2006","Primary"
"Merrill Field","2006","Primary"
"Rogers Park","2006","Primary"
"East Dowling","2006","Primary"
"Far North Bicentennial","2006","Primary"
"Midtown No. 1","2006","Primary"
"Midtown No. 2","2006","Primary"
"Midtown No. 3","2006","Primary"
"Taku","2006","Primary"
"Tudor","2006","Primary"
"Arctic","2006","Primary"
"Conners Lake","2006","Primary"
"Northwood","2006","Primary"
"Spenard No. 1","2006","Primary"
"Spenard No. 2","2006","Primary"
"Spenard No. 3","2006","Primary"
"Westchester No. 1","2006","Primary"
"Willowcrest No. 1","2006","Primary"
"Willowcrest No. 2","2006","Primary"
"Inlet View No. 1","2006","Primary"
"Inlet View No. 2","2006","Primary"
"Lake Hood","2006","Primary"
"Lake Spenard","2006","Primary"
"Turnagain No. 1","2006","Primary"
"Turnagain No. 2","2006","Primary"
"Turnagain No. 3","2006","Primary"
"Turnagain No. 4","2006","Primary"
"Westchester No. 2","2006","Primary"
"Dimond No. 1","2006","Primary"
"Jewel Lake No 1","2006","Primary"
"Kincaid","2006","Primary"
"Sand Lake No. 1","2006","Primary"
"Sand Lake No. 2","2006","Primary"
"Sand Lake No. 3","2006","Primary"
"Bayshore","2006","Primary"
"Campbell Lake","2006","Primary"
"Jewel Lake No. 2","2006","Primary"
"Klatt No. 1","2006","Primary"
"Oceanview No. 1","2006","Primary"
"Southport","2006","Primary"
"Campbell Creek No. 1","2006","Primary"
"Campbell Creek No. 2","2006","Primary"
"Campbell Creek No. 3","2006","Primary"
"Dimond No. 2","2006","Primary"
"Dimond No. 3","2006","Primary"
"Independence Park No. 1","2006","Primary"
"Independence Park No. 2","2006","Primary"
"Abbott Loop No. 1","2006","Primary"
"Abbott Loop No. 2","2006","Primary"
"Abbott Loop No. 3","2006","Primary"
"Abbott Loop No. 4","2006","Primary"
"Laurel/Dowling","2006","Primary"
"Lore No. 1","2006","Primary"
"Lore No. 2","2006","Primary"
"Huffman No. 1","2006","Primary"
"Huffman No. 2","2006","Primary"
"Huffman No. 3","2006","Primary"
"Huffman No. 4","2006","Primary"
"Huffman No. 5","2006","Primary"
"Huffman No. 6","2006","Primary"
"Huffman No. 7","2006","Primary"
"Huffman No. 8","2006","Primary"
"Bear Valley","2006","Primary"
"Centennial Park","2006","Primary"
"Chugach Park No. 1","2006","Primary"
"Chugach Park No. 2","2006","Primary"
"Girdwood","2006","Primary"
"Golden View","2006","Primary"
"Hiland","2006","Primary"
"Hope","2006","Primary"
"Indian","2006","Primary"
"Rabbit Creek","2006","Primary"
"Stuckagain Heights","2006","Primary"
"Whittier","2006","Primary"
"Kenai No. 1","2006","Primary"
"Kenai No. 2","2006","Primary"
"Kenai No. 3","2006","Primary"
"K-Beach","2006","Primary"
"Soldotna","2006","Primary"
"Funny River","2006","Primary"
"Kasilof","2006","Primary"
"Mackey Lake","2006","Primary"
"Nikiski","2006","Primary"
"Ninilchik","2006","Primary"
"Salamatoff","2006","Primary"
"Sterling","2006","Primary"
"Homer No. 1","2006","Primary"
"Homer No. 2","2006","Primary"
"Anchor Point","2006","Primary"
"Bear Creek","2006","Primary"
"Cooper Landing","2006","Primary"
"Diamond Ridge","2006","Primary"
"Kachemak Bay","2006","Primary"
"Kachemak City/Fritz Creek","2006","Primary"
"Moose Pass","2006","Primary"
"Seldovia","2006","Primary"
"Seward","2006","Primary"
"Chiniak","2006","Primary"
"Flats","2006","Primary"
"Kodiak Island South","2006","Primary"
"Kodiak No. 1","2006","Primary"
"Kodiak No. 2","2006","Primary"
"Mission Road","2006","Primary"
"Old Harbor","2006","Primary"
"Ouzinkie","2006","Primary"
"Port Lions","2006","Primary"
"Iliamna/Newhalen","2006","Primary"
"Kokhanok/Igiugig","2006","Primary"
"Levelock","2006","Primary"
"Nondalton","2006","Primary"
"Pedro Bay","2006","Primary"
"Akutan","2006","Primary"
"Aleknagik","2006","Primary"
"Aleutians No. 1","2006","Primary"
"Aleutians No. 2","2006","Primary"
"Chigniks","2006","Primary"
"Clarks Point","2006","Primary"
"Cold Bay","2006","Primary"
"Dillingham","2006","Primary"
"Egegik/Pilot Point","2006","Primary"
"Ekwok","2006","Primary"
"King Cove","2006","Primary"
"King Salmon","2006","Primary"
"Koliganek","2006","Primary"
"Manokotak","2006","Primary"
"Naknek","2006","Primary"
"New Stuyahok","2006","Primary"
"Port Heiden","2006","Primary"
"Sand Point","2006","Primary"
"South Naknek","2006","Primary"
"St. George Island","2006","Primary"
"St. Paul Island","2006","Primary"
"Togiak","2006","Primary"
"Akiachak","2006","Primary"
"Akiak","2006","Primary"
"Atmautluak","2006","Primary"
"Bethel No. 1","2006","Primary"
"Bethel No. 2","2006","Primary"
"Bethel No. 3","2006","Primary"
"Chefornak","2006","Primary"
"Eek","2006","Primary"
"Goodnews Bay","2006","Primary"
"Kalskag","2006","Primary"
